uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
a1d15eff697311ee866128c2dd2980ba,68,Seele,80,Quantum,In the Night,80.0,6,10,10,10,2763.132,2636.89,1181.542,140.032,84.56,153.504,48.88,0.0,0.0,24.624,19.008,5.184,0.0,0.0,12.528,18.36,29.16,63.504,24.624,19.008,5.184,CRIT Rate,SPD,Quantum DMG Boost,ATK,Genius of Brilliant Stars,Celestial Differentiator
a1d15eff697311ee866128c2dd2980ba,68,Kafka,80,Lightning,Patience Is All You Need,80.0,6,10,10,10,3417.254,3855.319,1133.453,127.032,7.592,56.48,48.88,0.0,0.0,0.0,36.576,65.448,2.0,16.416,38.88,9.72,2.592,6.48,0.0,18.576,65.448,ATK,SPD,Lightning DMG Boost,ATK,Band of Sizzling Thunder,Space Sealing Station
a1d15eff697311ee866128c2dd2980ba,68,Silver Wolf,80,Quantum,Fermata,80.0,5,8,8,8,3570.885,2015.478,1290.785,150.552,5.0,50.0,42.08,0.0,0.0,15.984,79.344,147.792,12.1,27.216,19.008,50.76,0.0,0.0,15.984,18.144,34.992,Effect Hit Rate,SPD,Quantum DMG Boost,Break Effect,"Longevous Disciple, Messenger Traversing Hackerspace",Talia: Kingdom of Banditry
a1d15eff697311ee866128c2dd2980ba,68,Fu Xuan,80,Quantum,She Already Shut Her Eyes,80.0,4,10,9,7,7654.663,1462.349,1346.033,129.632,33.304,165.992,38.88,0.0,12.0,32.96,0.0,11.664,4.6,50.112,22.896,13.5,14.904,51.192,12.96,0.0,11.664,CRIT DMG,SPD,Quantum DMG Boost,HP,Longevous Disciple,Broken Keel
a1d15f01697311eeb7fe28c2dd2980ba,68,Dan Heng â€¢ Imbibitor Lunae,80,Imaginary,Brighter Than the Sun,80.0,6,10,10,10,3448.62,3298.207,972.997,102.0,99.7,119.984,71.28,0.0,0.0,7.776,12.096,47.304,0.0,7.776,22.464,15.66,24.3,69.984,7.776,12.096,47.304,CRIT Rate,ATK,Imaginary DMG Boost,ATK,"Musketeer of Wild Wheat, Wastelander of Banditry Desert",Rutilant Arena
a1d15f01697311eeb7fe28c2dd2980ba,68,Luocha,80,Imaginary,Echoes of the Coffin,80.0,1,6,5,7,4589.831,5268.048,1004.981,107.3,7.592,66.848,0.0,10.0,0.0,16.416,16.416,29.16,6.3,39.312,18.144,4.86,2.592,16.848,16.416,16.416,29.16,ATK,ATK,ATK,ATK,"Musketeer of Wild Wheat, Passerby of Wandering Cloud",Space Sealing Station
a1d15f01697311eeb7fe28c2dd2980ba,68,Jing Yuan,80,Lightning,Before Dawn,80.0,6,10,10,10,3206.692,3370.504,1307.405,124.032,77.488,163.76,10.0,0.0,0.0,7.344,7.776,40.176,0.0,12.528,15.12,15.12,20.088,77.76,7.344,7.776,40.176,CRIT Rate,SPD,ATK,ATK,Band of Sizzling Thunder,Inert Salsotto
a1d15f01697311eeb7fe28c2dd2980ba,68,Welt,70,Imaginary,In the Name of the World,60.0,4,6,6,6,2655.992,2644.431,851.163,138.832,37.724,156.92,13.2,0.0,0.0,26.464,29.44,34.344,11.8,7.776,15.552,5.4,32.724,42.12,22.464,19.44,34.344,CRIT DMG,SPD,ATK,ATK,"Musketeer of Wild Wheat, Wastelander of Banditry Desert",Pan-Cosmic Commercial Enterprise
a1d15f02697311ee894228c2dd2980ba,68,Fu Xuan,80,Quantum,She Already Shut Her Eyes,80.0,4,8,8,8,8911.569,1417.557,1775.131,125.032,41.52,66.848,0.0,0.0,12.0,55.424,11.232,5.184,0.0,11.664,0.0,46.44,17.82,16.848,35.424,11.232,5.184,HP,SPD,HP,HP,"Guard of Wuthering Snow, Longevous Disciple",Broken Keel
a1d15f02697311ee894228c2dd2980ba,68,Seele,80,Quantum,Cruising in the Stellar Sea,80.0,6,10,10,10,3378.058,3277.309,1008.559,121.3,81.164,134.264,48.88,0.0,0.0,7.776,8.64,0.0,6.3,37.584,32.4,0.0,19.764,60.264,7.776,8.64,0.0,CRIT Rate,ATK,Quantum DMG Boost,ATK,Genius of Brilliant Stars,Inert Salsotto
