uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
3cd033d3c82011ef935f8878734f76cf,4,1,40000,3,Jing Yuan,Sunday,Robin,Huohuo,0,1.0,1.0,0.0,False Promises
3cd033d3c82011ef935f8878734f76cf,4,2,40000,3,Acheron,Jiaoqiu,Herta,Gallagher,0,0.0,6.0,6.0,Empty Air
3cd033d4c82011efa77b8878734f76cf,4,1,40000,3,Rappa,Imaginary Trailblazer,Ruan Mei,Gallagher,0,6.0,0.0,6.0,Hollow Hope
3cd033d4c82011efa77b8878734f76cf,4,2,40000,3,Feixiao,Herta,Aventurine,Robin,0,6.0,0.0,0.0,False Promises
3cd033d5c82011ef83088878734f76cf,4,1,34960,2,Acheron,Jiaoqiu,Ruan Mei,Aventurine,0,1.0,1.0,1.0,Hollow Hope
3cd033d5c82011ef83088878734f76cf,4,2,16000,2,Dan Heng • Imbibitor Lunae,Jingliu,Sparkle,Luocha,0,0.0,0.0,1.0,Empty Air
3cd033d6c82011ef8aac8878734f76cf,4,1,31480,3,Acheron,Black Swan,Kafka,Fu Xuan,0,0.0,0.0,0.0,Empty Air
3cd033d6c82011ef8aac8878734f76cf,4,2,37840,3,Herta,Jade,Aventurine,Robin,6,0.0,0.0,0.0,False Promises
3cd033d7c82011efa6c98878734f76cf,4,1,40000,3,Acheron,Gallagher,Black Swan,Jiaoqiu,0,2.0,1.0,0.0,Empty Air
3cd033d7c82011efa6c98878734f76cf,4,2,33520,3,Jade,Blade,Fu Xuan,Bronya,1,0.0,1.0,3.0,False Promises
3cd033d8c82011efb2de8878734f76cf,4,1,40000,3,Jing Yuan,Sunday,Robin,Luocha,0,1.0,0.0,0.0,False Promises
3cd033d8c82011efb2de8878734f76cf,4,2,38040,3,Herta,Himeko,Ruan Mei,Gallagher,5,1.0,0.0,6.0,False Promises
3cd033d9c82011ef98f38878734f76cf,4,1,37560,3,Imaginary Trailblazer,Firefly,Ruan Mei,Fugue,6,2.0,0.0,0.0,Hollow Hope
3cd033d9c82011ef98f38878734f76cf,4,2,26520,3,Himeko,Robin,Herta,Huohuo,1,0.0,6.0,0.0,False Promises
3cd033dac82011efb3bf8878734f76cf,4,1,40000,3,Acheron,Sparkle,Jiaoqiu,Aventurine,2,2.0,0.0,0.0,Empty Air
3cd033dac82011efb3bf8878734f76cf,4,2,26520,3,Himeko,Robin,Herta,Fu Xuan,0,0.0,6.0,0.0,False Promises
3cd033dbc82011efa4f08878734f76cf,4,1,40000,3,Acheron,Kafka,Fu Xuan,Black Swan,1,0.0,0.0,1.0,Empty Air
3cd033dbc82011efa4f08878734f76cf,4,2,35160,3,Fugue,Imaginary Trailblazer,Lingsha,Ruan Mei,0,6.0,0.0,0.0,Hollow Hope
3cd033dcc82011efb0038878734f76cf,4,1,40000,3,Silver Wolf,Rappa,Fugue,Lingsha,0,2.0,1.0,0.0,Hollow Hope
3cd033dcc82011efb0038878734f76cf,4,2,40000,3,Gallagher,Firefly,Imaginary Trailblazer,Ruan Mei,6,2.0,6.0,1.0,Hollow Hope
3cd033ddc82011efbf858878734f76cf,4,1,30560,3,Jing Yuan,Sparkle,Sunday,Aventurine,0,0.0,0.0,0.0,False Promises
3cd033ddc82011efbf858878734f76cf,4,2,31360,3,Ruan Mei,Jade,Himeko,Gallagher,0,0.0,6.0,0.0,False Promises
3cd033dec82011ef862f8878734f76cf,4,1,26600,3,Aventurine,Sunday,Pela,Acheron,1,0.0,6.0,0.0,Empty Air
3cd033dec82011ef862f8878734f76cf,4,2,37000,3,Robin,Ruan Mei,Herta,Jade,0,0.0,6.0,0.0,False Promises
3cd033dfc82011ef98008878734f76cf,4,1,40000,3,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,6,6.0,1.0,6.0,Hollow Hope
3cd033dfc82011ef98008878734f76cf,4,2,40000,3,Himeko,Herta,Fugue,Lingsha,0,6.0,1.0,1.0,False Promises
3cd033e0c82011ef997c8878734f76cf,4,1,32040,3,Jing Yuan,Sunday,Aventurine,Robin,0,0.0,0.0,0.0,False Promises
3cd033e0c82011ef997c8878734f76cf,4,2,30600,3,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,0,6.0,0.0,6.0,Hollow Hope
3cd033e1c82011ef8a698878734f76cf,4,1,30840,3,Acheron,Silver Wolf,Sparkle,Fu Xuan,2,1.0,2.0,0.0,Empty Air
3cd033e1c82011ef8a698878734f76cf,4,2,40000,3,Firefly,Fugue,Ruan Mei,Lingsha,2,0.0,0.0,1.0,Hollow Hope
3cd033e2c82011ef81c88878734f76cf,4,1,40000,3,Jade,Yunli,Robin,Fu Xuan,1,0.0,0.0,1.0,False Promises
3cd033e2c82011ef81c88878734f76cf,4,2,37440,3,Ruan Mei,Herta,Himeko,Aventurine,1,6.0,0.0,1.0,False Promises
3cd033e3c82011efad128878734f76cf,4,1,39600,3,Acheron,Kafka,Black Swan,Luocha,0,6.0,0.0,0.0,Empty Air
3cd033e3c82011efad128878734f76cf,4,2,23200,3,Feixiao,Imaginary March 7th,Robin,Herta,0,6.0,0.0,6.0,False Promises
3cd033e4c82011ef98fe8878734f76cf,4,1,40000,3,Acheron,Sparkle,Fu Xuan,Jiaoqiu,2,1.0,0.0,0.0,Empty Air
3cd033e4c82011ef98fe8878734f76cf,4,2,31760,3,Himeko,Herta,Robin,Gallagher,2,6.0,0.0,6.0,False Promises
3cd033e5c82011efb2808878734f76cf,4,1,30480,3,Jing Yuan,Sunday,Tingyun,Fu Xuan,1,0.0,6.0,1.0,False Promises
3cd033e5c82011efb2808878734f76cf,4,2,29800,3,Acheron,Jiaoqiu,Pela,Aventurine,0,0.0,6.0,0.0,Empty Air
3cd033e6c82011efa1128878734f76cf,4,1,40000,3,Acheron,Sparkle,Aventurine,Silver Wolf,2,2.0,2.0,2.0,Empty Air
3cd033e6c82011efa1128878734f76cf,4,2,40000,3,Himeko,Fugue,Ruan Mei,Lingsha,1,0.0,1.0,1.0,Hollow Hope
3cd033e7c82011efba498878734f76cf,4,1,40000,3,Rappa,Fugue,Imaginary Trailblazer,Gallagher,0,1.0,6.0,6.0,Hollow Hope
3cd033e7c82011efba498878734f76cf,4,2,32800,3,Jade,Aventurine,Robin,Ruan Mei,0,0.0,0.0,1.0,False Promises
3cd033e8c82011efa75f8878734f76cf,4,1,40000,3,Jing Yuan,Robin,Huohuo,Sunday,0,0.0,0.0,0.0,False Promises
3cd033e8c82011efa75f8878734f76cf,4,2,40000,3,Gallagher,Himeko,Fugue,Ruan Mei,6,0.0,0.0,1.0,Hollow Hope
3cd033e9c82011ef92d98878734f76cf,4,1,40000,3,Acheron,Jiaoqiu,Bronya,Gallagher,2,0.0,2.0,6.0,Empty Air
3cd033e9c82011ef92d98878734f76cf,4,2,26640,3,Himeko,Aventurine,Herta,Robin,0,0.0,6.0,0.0,False Promises
