uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4
4d146045d09911eea4fd28c2dd2980ba,12,1,5,3,Jingliu,Bronya,Ruan Mei,Huohuo
4d146045d09911eea4fd28c2dd2980ba,12,2,5,3,Dr. Ratio,Tingyun,Silver Wolf,Fu Xuan
4d146045d09911eea4fd28c2dd2980ba,11,1,5,3,Blade,Bronya,Ruan Mei,Fu Xuan
4d146045d09911eea4fd28c2dd2980ba,11,2,5,3,Dr. Ratio,Tingyun,Silver Wolf,Huohuo
4d146045d09911eea4fd28c2dd2980ba,10,1,4,3,Blade,Bronya,Ruan Mei,Fu Xuan
4d146045d09911eea4fd28c2dd2980ba,10,2,4,3,Dr. Ratio,Tingyun,Silver Wolf,Huohuo
4d146046d09911eeb41a28c2dd2980ba,12,1,7,3,Black Swan,Kafka,Silver Wolf,Luocha
4d146046d09911eeb41a28c2dd2980ba,12,2,7,3,Dan Heng • Imbibitor Lunae,Ruan Mei,Fu Xuan,Hanya
4d146046d09911eeb41a28c2dd2980ba,11,1,6,3,Black Swan,Kafka,Silver Wolf,Luocha
4d146046d09911eeb41a28c2dd2980ba,11,2,6,3,Dan Heng • Imbibitor Lunae,Ruan Mei,Fu Xuan,Hanya
4d146046d09911eeb41a28c2dd2980ba,10,1,3,3,Black Swan,Kafka,Silver Wolf,Luocha
4d146046d09911eeb41a28c2dd2980ba,10,2,3,3,Dan Heng • Imbibitor Lunae,Ruan Mei,Fu Xuan,Hanya
4d146047d09911eebc9c28c2dd2980ba,12,1,11,2,Seele,Silver Wolf,Tingyun,Fu Xuan
4d146047d09911eebc9c28c2dd2980ba,12,2,11,2,Dr. Ratio,Ruan Mei,Huohuo,Blade
4d146047d09911eebc9c28c2dd2980ba,11,1,9,3,Blade,Fu Xuan,Bronya,Ruan Mei
4d146047d09911eebc9c28c2dd2980ba,11,2,9,3,Dr. Ratio,Tingyun,Silver Wolf,Huohuo
4d146047d09911eebc9c28c2dd2980ba,10,1,9,3,Blade,Fu Xuan,Bronya,Ruan Mei
4d146047d09911eebc9c28c2dd2980ba,10,2,9,3,Dr. Ratio,Tingyun,Silver Wolf,Huohuo
4d146048d09911eea40628c2dd2980ba,12,1,9,3,Huohuo,Kafka,Black Swan,Ruan Mei
4d146048d09911eea40628c2dd2980ba,12,2,9,3,Fu Xuan,Dan Heng • Imbibitor Lunae,Tingyun,Hanya
