uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,buff
2cfbc146c69111ee928128c2dd2980ba,4,1,31915,3,Blade,Bronya,Huohuo,Jingliu,Rumor
2cfbc146c69111ee928128c2dd2980ba,4,2,40000,3,Himeko,Herta,Ruan Mei,Fu Xuan,Rumor
2cfbc147c69111ee826528c2dd2980ba,4,1,40000,3,Black Swan,Kafka,Luocha,Silver Wolf,Libel
2cfbc147c69111ee826528c2dd2980ba,4,2,20000,3,Dan Heng • Imbibitor Lunae,Hanya,Fu Xuan,Ruan Mei,Rumor
2cfbc148c69111eead2b28c2dd2980ba,4,1,25300,2,Blade,Bronya,Ruan Mei,Fu Xuan,Rumor
2cfbc148c69111eead2b28c2dd2980ba,4,2,27529,2,Argenti,Tingyun,Herta,Huohuo,Rumor
2cfbc149c69111ee826b28c2dd2980ba,4,1,20474,3,Jingliu,Bronya,Silver Wolf,Fu Xuan,Rumor
2cfbc149c69111ee826b28c2dd2980ba,4,2,40000,3,Himeko,Ruan Mei,Luocha,Herta,Libel
2cfbc14ac69111eea5db28c2dd2980ba,4,1,23193,1,Blade,Jing Yuan,Tingyun,Fu Xuan,Rumor
2cfbc14ac69111eea5db28c2dd2980ba,4,2,25450,1,Argenti,Pela,Hanya,Luocha,Rumor
2cfbc14bc69111eeb4e928c2dd2980ba,4,1,35090,2,Huohuo,Kafka,Ruan Mei,Sampo,Libel
2cfbc14bc69111eeb4e928c2dd2980ba,4,2,16594,2,Fu Xuan,Jingliu,Guinaifen,Dr. Ratio,Rumor
2cfbc14cc69111ee93b328c2dd2980ba,4,1,40000,3,Kafka,Sampo,Tingyun,Serval,Defamation
2cfbc14cc69111ee93b328c2dd2980ba,4,2,23620,3,Jingliu,Pela,Herta,March 7th,Rumor
2cfbc14dc69111ee8f7f28c2dd2980ba,4,1,34290,2,Kafka,Sampo,Tingyun,Luocha,Libel
2cfbc14dc69111ee8f7f28c2dd2980ba,4,2,22376,2,Fire Trailblazer,Jingliu,Ruan Mei,Pela,Defamation
2cfbc14ec69111eebdf628c2dd2980ba,4,1,32319,3,Huohuo,Kafka,Sampo,Tingyun,Libel
2cfbc14ec69111eebdf628c2dd2980ba,4,2,29149,3,Himeko,Herta,Ruan Mei,Pela,Rumor
2cfbc14fc69111ee92d828c2dd2980ba,4,1,31130,3,Seele,Silver Wolf,Bronya,Fu Xuan,Rumor
2cfbc14fc69111ee92d828c2dd2980ba,4,2,30844,3,Jingliu,Blade,Pela,Luocha,Rumor
2cfbc150c69111eebaef28c2dd2980ba,4,1,40000,3,Kafka,Black Swan,Huohuo,Ruan Mei,Libel
2cfbc150c69111eebaef28c2dd2980ba,4,2,20000,3,Argenti,Topaz & Numby,Pela,Luocha,Rumor
2cfbc151c69111eea5d228c2dd2980ba,4,1,40000,3,Luocha,Blade,Dan Heng • Imbibitor Lunae,Ruan Mei,Rumor
2cfbc151c69111eea5d228c2dd2980ba,4,2,40000,3,Fu Xuan,Argenti,Jingliu,Bronya,Rumor
