uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4
30c3fdc7bc3311eea42428c2dd2980ba,12,1,2,3,Jingliu,Bronya,Ruan Mei,Huohuo
30c3fdc7bc3311eea42428c2dd2980ba,12,2,2,3,Dr. Ratio,Tingyun,Silver Wolf,Fu Xuan
30c3fdc7bc3311eea42428c2dd2980ba,11,1,3,3,Dr. Ratio,Tingyun,Silver Wolf,Huohuo
30c3fdc7bc3311eea42428c2dd2980ba,11,2,3,3,Blade,Bronya,Ruan Mei,Fu Xuan
30c3fdc7bc3311eea42428c2dd2980ba,10,1,3,3,Jingliu,Bronya,Ruan Mei,Huohuo
30c3fdc7bc3311eea42428c2dd2980ba,10,2,3,3,Dr. Ratio,Tingyun,Silver Wolf,Fu Xuan
30c3fdc8bc3311ee854a28c2dd2980ba,12,1,9,3,Jingliu,Blade,Bronya,Luocha
30c3fdc8bc3311ee854a28c2dd2980ba,12,2,9,3,Fu Xuan,Ruan Mei,Hanya,Dan Heng • Imbibitor Lunae
30c3fdc8bc3311ee854a28c2dd2980ba,11,1,5,3,Ruan Mei,Dan Heng • Imbibitor Lunae,Fu Xuan,Hanya
30c3fdc8bc3311ee854a28c2dd2980ba,11,2,5,3,Blade,Bronya,Luocha,Jingliu
30c3fdc8bc3311ee854a28c2dd2980ba,10,1,4,3,Blade,Bronya,Luocha,Jingliu
30c3fdc8bc3311ee854a28c2dd2980ba,10,2,4,3,Ruan Mei,Dan Heng • Imbibitor Lunae,Fu Xuan,Hanya
30c3fdc9bc3311eebede28c2dd2980ba,12,1,8,3,Jingliu,Ruan Mei,Pela,Fu Xuan
30c3fdc9bc3311eebede28c2dd2980ba,12,2,8,3,Dr. Ratio,Silver Wolf,Tingyun,Huohuo
30c3fdc9bc3311eebede28c2dd2980ba,11,1,7,3,Dr. Ratio,Silver Wolf,Tingyun,Fu Xuan
30c3fdc9bc3311eebede28c2dd2980ba,11,2,7,3,Blade,Bronya,Ruan Mei,Huohuo
30c3fdc9bc3311eebede28c2dd2980ba,10,1,6,3,Seele,Silver Wolf,Fu Xuan,Ruan Mei
30c3fdc9bc3311eebede28c2dd2980ba,10,2,6,3,Jingliu,Tingyun,Pela,Huohuo
30c3fdcabc3311ee802f28c2dd2980ba,12,1,10,3,Kafka,Ruan Mei,Luocha,Guinaifen
30c3fdcabc3311ee802f28c2dd2980ba,12,2,10,3,Jingliu,Bronya,Silver Wolf,Fu Xuan
30c3fdcabc3311ee802f28c2dd2980ba,11,1,5,3,Jingliu,Bronya,Silver Wolf,Fu Xuan
30c3fdcabc3311ee802f28c2dd2980ba,11,2,5,3,Kafka,Ruan Mei,Luocha,Guinaifen
30c3fdcabc3311ee802f28c2dd2980ba,10,1,6,3,Kafka,Ruan Mei,Luocha,Guinaifen
30c3fdcabc3311ee802f28c2dd2980ba,10,2,6,3,Jingliu,Bronya,Silver Wolf,Fu Xuan
30c3fdcbbc3311eeb7d428c2dd2980ba,12,1,8,3,Ruan Mei,Jingliu,Blade,Huohuo
30c3fdcbbc3311eeb7d428c2dd2980ba,12,2,8,3,Luocha,Fu Xuan,Silver Wolf,Seele
30c3fdcbbc3311eeb7d428c2dd2980ba,11,1,7,3,Dr. Ratio,Topaz & Numby,Luocha,Clara
30c3fdcbbc3311eeb7d428c2dd2980ba,11,2,7,3,Huohuo,Kafka,Guinaifen,Ruan Mei
30c3fdcbbc3311eeb7d428c2dd2980ba,10,1,5,3,Kafka,Guinaifen,Ruan Mei,Huohuo
30c3fdcbbc3311eeb7d428c2dd2980ba,10,2,5,3,Luocha,Dan Heng • Imbibitor Lunae,Jingliu,Silver Wolf
30c3fdccbc3311ee8fd528c2dd2980ba,12,1,14,2,Dr. Ratio,Tingyun,Fu Xuan,Bailu
30c3fdccbc3311ee8fd528c2dd2980ba,12,2,14,2,Dan Heng • Imbibitor Lunae,Blade,Hanya,Luocha
30c3fdccbc3311ee8fd528c2dd2980ba,11,1,10,3,Dr. Ratio,Tingyun,Fu Xuan,Hanya
30c3fdccbc3311ee8fd528c2dd2980ba,11,2,10,3,Blade,Bronya,Luocha,Pela
30c3fdccbc3311ee8fd528c2dd2980ba,10,1,7,3,Argenti,Clara,Hanya,Fu Xuan
30c3fdccbc3311ee8fd528c2dd2980ba,10,2,7,3,Dr. Ratio,Pela,Tingyun,Luocha
30c3fdcdbc3311ee92f828c2dd2980ba,12,1,11,1,Pela,Ruan Mei,Jingliu,Bailu
30c3fdcdbc3311ee92f828c2dd2980ba,12,2,11,1,Silver Wolf,Seele,Fu Xuan,Tingyun
30c3fdcdbc3311ee92f828c2dd2980ba,11,1,8,3,Welt,Ruan Mei,Jingliu,Fu Xuan
30c3fdcdbc3311ee92f828c2dd2980ba,11,2,8,3,Blade,Bronya,Bailu,Seele
30c3fdcdbc3311ee92f828c2dd2980ba,10,1,7,3,Silver Wolf,Seele,Fu Xuan,Tingyun
30c3fdcdbc3311ee92f828c2dd2980ba,10,2,7,3,Pela,Ruan Mei,Jingliu,Bailu
30c3fdcebc3311eebf1828c2dd2980ba,12,1,7,3,Luocha,Jingliu,Tingyun,Ruan Mei
30c3fdcebc3311eebf1828c2dd2980ba,12,2,7,3,Seele,Fu Xuan,Silver Wolf,Bronya
30c3fdcebc3311eebf1828c2dd2980ba,11,1,3,3,Luocha,Jingliu,Tingyun,Ruan Mei
30c3fdcebc3311eebf1828c2dd2980ba,11,2,3,3,Seele,Fu Xuan,Silver Wolf,Bronya
30c3fdcebc3311eebf1828c2dd2980ba,10,1,2,3,Seele,Fu Xuan,Silver Wolf,Bronya
30c3fdcebc3311eebf1828c2dd2980ba,10,2,2,3,Luocha,Jingliu,Tingyun,Ruan Mei
30c3fdcfbc3311eeaa8b28c2dd2980ba,12,1,3,3,Jingliu,Bronya,Pela,Luocha
30c3fdcfbc3311eeaa8b28c2dd2980ba,12,2,3,3,Seele,Silver Wolf,Tingyun,Fu Xuan
30c3fdcfbc3311eeaa8b28c2dd2980ba,11,1,3,3,Seele,Silver Wolf,Tingyun,Fu Xuan
30c3fdcfbc3311eeaa8b28c2dd2980ba,11,2,3,3,Jingliu,Bronya,Pela,Luocha
30c3fdcfbc3311eeaa8b28c2dd2980ba,10,1,3,3,Seele,Silver Wolf,Tingyun,Fu Xuan
30c3fdcfbc3311eeaa8b28c2dd2980ba,10,2,3,3,Jingliu,Bronya,Pela,Luocha
30c3fdd0bc3311eea74328c2dd2980ba,12,1,9,3,Luocha,Dan Heng • Imbibitor Lunae,Pela,Tingyun
30c3fdd0bc3311eea74328c2dd2980ba,12,2,9,3,Dr. Ratio,Topaz & Numby,Huohuo,Ruan Mei
30c3fdd0bc3311eea74328c2dd2980ba,11,1,9,3,Dan Heng • Imbibitor Lunae,Luocha,Ruan Mei,Pela
30c3fdd0bc3311eea74328c2dd2980ba,11,2,9,3,Jing Yuan,Topaz & Numby,Huohuo,Bronya
30c3fdd0bc3311eea74328c2dd2980ba,10,1,5,3,Kafka,Topaz & Numby,Huohuo,Ruan Mei
30c3fdd0bc3311eea74328c2dd2980ba,10,2,5,3,Dan Heng • Imbibitor Lunae,Luocha,Tingyun,Pela
30c3fdd1bc3311eeac0f28c2dd2980ba,12,1,5,3,Fu Xuan,Blade,Jingliu,Bronya
30c3fdd1bc3311eeac0f28c2dd2980ba,12,2,5,3,Luocha,Dan Heng • Imbibitor Lunae,Tingyun,Ruan Mei
30c3fdd1bc3311eeac0f28c2dd2980ba,11,1,3,3,Luocha,Dan Heng • Imbibitor Lunae,Tingyun,Ruan Mei
30c3fdd1bc3311eeac0f28c2dd2980ba,11,2,3,3,Fu Xuan,Blade,Jingliu,Bronya
30c3fdd1bc3311eeac0f28c2dd2980ba,10,1,1,3,Fu Xuan,Blade,Jingliu,Bronya
30c3fdd1bc3311eeac0f28c2dd2980ba,10,2,1,3,Luocha,Dan Heng • Imbibitor Lunae,Tingyun,Ruan Mei
30c3fdd2bc3311eeb62428c2dd2980ba,12,1,10,3,Luocha,Silver Wolf,Ruan Mei,Jingliu
30c3fdd2bc3311eeb62428c2dd2980ba,12,2,10,3,Fu Xuan,Pela,Tingyun,Dr. Ratio
30c3fdd2bc3311eeb62428c2dd2980ba,11,1,10,3,Fu Xuan,Pela,Tingyun,Dr. Ratio
30c3fdd2bc3311eeb62428c2dd2980ba,11,2,10,3,Luocha,Silver Wolf,Ruan Mei,Jingliu
30c3fdd2bc3311eeb62428c2dd2980ba,10,1,7,3,Fu Xuan,Silver Wolf,Bronya,Seele
30c3fdd2bc3311eeb62428c2dd2980ba,10,2,7,3,Luocha,Ruan Mei,Pela,Jingliu
30c3fdd3bc3311ee941728c2dd2980ba,12,1,6,3,Bronya,Jingliu,Blade,Gepard
30c3fdd3bc3311ee941728c2dd2980ba,12,2,6,3,Kafka,Dan Heng • Imbibitor Lunae,Ruan Mei,Bailu
30c3fdd3bc3311ee941728c2dd2980ba,11,1,6,3,Hanya,Dan Heng • Imbibitor Lunae,Ruan Mei,Gepard
30c3fdd3bc3311ee941728c2dd2980ba,11,2,6,3,Bronya,Jingliu,Blade,Bailu
30c3fdd3bc3311ee941728c2dd2980ba,10,1,4,3,Blade,Ruan Mei,Jingliu,Bailu
30c3fdd3bc3311ee941728c2dd2980ba,10,2,4,3,Dan Heng • Imbibitor Lunae,Tingyun,Yukong,Gepard
30c3fdd4bc3311ee9fed28c2dd2980ba,12,1,9,3,Jingliu,Bronya,Ruan Mei,Fu Xuan
30c3fdd4bc3311ee9fed28c2dd2980ba,12,2,9,3,Dr. Ratio,Silver Wolf,Tingyun,Huohuo
30c3fdd4bc3311ee9fed28c2dd2980ba,11,1,10,3,Dr. Ratio,Silver Wolf,Clara,Huohuo
30c3fdd4bc3311ee9fed28c2dd2980ba,11,2,10,3,Jingliu,Bronya,Ruan Mei,Fu Xuan
30c3fdd4bc3311ee9fed28c2dd2980ba,10,1,8,3,Jingliu,Ruan Mei,Pela,Huohuo
30c3fdd4bc3311ee9fed28c2dd2980ba,10,2,8,3,Dr. Ratio,Topaz & Numby,Silver Wolf,Fu Xuan
30c3fdd5bc3311ee817728c2dd2980ba,12,1,7,3,Jingliu,Blade,Luocha,Ruan Mei
30c3fdd5bc3311ee817728c2dd2980ba,12,2,7,3,Seele,Bronya,Silver Wolf,Fu Xuan
30c3fdd5bc3311ee817728c2dd2980ba,11,1,5,3,Seele,Bronya,Silver Wolf,Fu Xuan
30c3fdd5bc3311ee817728c2dd2980ba,11,2,5,3,Jingliu,Blade,Luocha,Ruan Mei
30c3fdd5bc3311ee817728c2dd2980ba,10,1,5,3,Seele,Bronya,Silver Wolf,Fu Xuan
30c3fdd5bc3311ee817728c2dd2980ba,10,2,5,3,Jingliu,Blade,Luocha,Ruan Mei
30c3fdd6bc3311eeaea828c2dd2980ba,12,1,10,3,Jingliu,Tingyun,Ruan Mei,Huohuo
30c3fdd6bc3311eeaea828c2dd2980ba,12,2,10,3,Seele,Bronya,Silver Wolf,Fu Xuan
30c3fdd6bc3311eeaea828c2dd2980ba,11,1,10,3,Argenti,Tingyun,Ruan Mei,Huohuo
30c3fdd6bc3311eeaea828c2dd2980ba,11,2,10,3,Seele,Bronya,Silver Wolf,Fu Xuan
30c3fdd6bc3311eeaea828c2dd2980ba,10,1,4,3,Seele,Tingyun,Silver Wolf,Fu Xuan
30c3fdd6bc3311eeaea828c2dd2980ba,10,2,4,3,Jingliu,Bronya,Ruan Mei,Huohuo
30c3fdd7bc3311ee93e428c2dd2980ba,12,1,10,3,Topaz & Numby,Pela,Ruan Mei,Fu Xuan
30c3fdd7bc3311ee93e428c2dd2980ba,12,2,10,3,Dan Heng • Imbibitor Lunae,Tingyun,Hanya,Luocha
30c3fdd7bc3311ee93e428c2dd2980ba,11,1,9,3,Dan Heng • Imbibitor Lunae,Hanya,Pela,Luocha
30c3fdd7bc3311ee93e428c2dd2980ba,11,2,9,3,Jing Yuan,Topaz & Numby,Tingyun,Fu Xuan
30c3fdd7bc3311ee93e428c2dd2980ba,10,1,10,3,Jing Yuan,Tingyun,Hanya,Fu Xuan
30c3fdd7bc3311ee93e428c2dd2980ba,10,2,10,3,Dan Heng • Imbibitor Lunae,Bronya,Pela,Luocha
30c3fdd8bc3311ee844428c2dd2980ba,12,1,10,3,Fu Xuan,Jingliu,Pela,Bronya
30c3fdd8bc3311ee844428c2dd2980ba,12,2,10,3,Huohuo,Dan Heng • Imbibitor Lunae,Ruan Mei,Tingyun
30c3fdd8bc3311ee844428c2dd2980ba,11,1,8,3,Fu Xuan,Dan Heng • Imbibitor Lunae,Ruan Mei,Tingyun
30c3fdd8bc3311ee844428c2dd2980ba,11,2,8,3,Huohuo,Seele,Silver Wolf,Bronya
30c3fdd8bc3311ee844428c2dd2980ba,10,1,7,3,Huohuo,Jingliu,Pela,Bronya
30c3fdd8bc3311ee844428c2dd2980ba,10,2,7,3,Fu Xuan,Dan Heng • Imbibitor Lunae,Ruan Mei,Tingyun
30c3fdd9bc3311eea54728c2dd2980ba,12,1,7,3,Fu Xuan,Jing Yuan,Tingyun,Ruan Mei
30c3fdd9bc3311eea54728c2dd2980ba,12,2,7,3,Huohuo,Bronya,Dan Heng • Imbibitor Lunae,Yukong
30c3fdd9bc3311eea54728c2dd2980ba,11,1,4,3,Huohuo,Bronya,Dan Heng • Imbibitor Lunae,Yukong
30c3fdd9bc3311eea54728c2dd2980ba,11,2,4,3,Fu Xuan,Jing Yuan,Tingyun,Ruan Mei
30c3fdd9bc3311eea54728c2dd2980ba,10,1,2,3,Fu Xuan,Jing Yuan,Tingyun,Ruan Mei
30c3fdd9bc3311eea54728c2dd2980ba,10,2,2,3,Huohuo,Bronya,Dan Heng • Imbibitor Lunae,Yukong
30c3fddabc3311ee810a28c2dd2980ba,12,1,14,2,Jingliu,Ruan Mei,Tingyun,Fu Xuan
30c3fddabc3311ee810a28c2dd2980ba,12,2,14,2,Blade,Bronya,Welt,Huohuo
30c3fddabc3311ee810a28c2dd2980ba,11,1,11,2,Jingliu,Ruan Mei,Welt,Luocha
30c3fddabc3311ee810a28c2dd2980ba,11,2,11,2,Blade,Bronya,Tingyun,Huohuo
30c3fddabc3311ee810a28c2dd2980ba,10,1,11,2,Blade,Bronya,Tingyun,Huohuo
30c3fddabc3311ee810a28c2dd2980ba,10,2,11,2,Jingliu,Ruan Mei,Welt,Luocha
30c3fddbbc3311eebd4628c2dd2980ba,12,1,7,3,Bailu,Dan Heng • Imbibitor Lunae,Bronya,Yukong
30c3fddbbc3311eebd4628c2dd2980ba,12,2,7,3,Luocha,Tingyun,Dr. Ratio,Pela
30c3fddbbc3311eebd4628c2dd2980ba,11,1,5,3,Luocha,Dan Heng • Imbibitor Lunae,Bronya,Yukong
30c3fddbbc3311eebd4628c2dd2980ba,11,2,5,3,Gepard,Jing Yuan,Tingyun,Asta
30c3fddbbc3311eebd4628c2dd2980ba,10,1,5,3,Gepard,Jing Yuan,Tingyun,Asta
30c3fddbbc3311eebd4628c2dd2980ba,10,2,5,3,Luocha,Dan Heng • Imbibitor Lunae,Bronya,Yukong
30c3fddcbc3311ee904028c2dd2980ba,12,1,10,3,Jingliu,Bronya,Ruan Mei,Fu Xuan
30c3fddcbc3311ee904028c2dd2980ba,12,2,10,3,Tingyun,Luocha,Dan Heng • Imbibitor Lunae,Hanya
30c3fddcbc3311ee904028c2dd2980ba,11,1,10,3,Tingyun,Luocha,Dan Heng • Imbibitor Lunae,Hanya
30c3fddcbc3311ee904028c2dd2980ba,11,2,10,3,Blade,Bronya,Ruan Mei,Fu Xuan
30c3fddcbc3311ee904028c2dd2980ba,10,1,8,3,Tingyun,Luocha,Dan Heng • Imbibitor Lunae,Silver Wolf
30c3fddcbc3311ee904028c2dd2980ba,10,2,8,3,Jingliu,Bronya,Ruan Mei,Fu Xuan
30c3fdddbc3311ee92d728c2dd2980ba,12,1,7,3,Jingliu,Fu Xuan,Pela,Bronya
30c3fdddbc3311ee92d728c2dd2980ba,12,2,7,3,Dr. Ratio,Argenti,Tingyun,Huohuo
30c3fdddbc3311ee92d728c2dd2980ba,11,1,6,3,Dr. Ratio,Argenti,Tingyun,Huohuo
30c3fdddbc3311ee92d728c2dd2980ba,11,2,6,3,Jingliu,Fu Xuan,Silver Wolf,Bronya
30c3fdddbc3311ee92d728c2dd2980ba,10,1,4,3,Argenti,Bronya,Tingyun,Huohuo
30c3fdddbc3311ee92d728c2dd2980ba,10,2,4,3,Dr. Ratio,Fu Xuan,Pela,Jingliu
30c3fddebc3311eead8528c2dd2980ba,12,1,6,3,Huohuo,Bronya,Tingyun,Jingliu
30c3fddebc3311eead8528c2dd2980ba,12,2,6,3,Fu Xuan,Ruan Mei,Silver Wolf,Seele
30c3fddebc3311eead8528c2dd2980ba,11,1,4,3,Huohuo,Ruan Mei,Tingyun,Jingliu
30c3fddebc3311eead8528c2dd2980ba,11,2,4,3,Fu Xuan,Bronya,Silver Wolf,Seele
30c3fddebc3311eead8528c2dd2980ba,10,1,6,3,Huohuo,Topaz & Numby,Tingyun,Kafka
30c3fddebc3311eead8528c2dd2980ba,10,2,6,3,Fu Xuan,Bronya,Silver Wolf,Jingliu
