uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 5,1,16,2,Dan Heng,Bailu,March 7th,Clara
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 5,2,16,2,Seele,Bronya,Natasha,Fire Trailblazer
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 4,1,15,2,Dan Heng,Tingyun,Natasha,Fire Trailblazer
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 4,2,15,2,Seele,Bronya,March 7th,Clara
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 3,1,11,3,Dan Heng,Tingyun,March 7th,Clara
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 3,2,11,3,Seele,Bronya,Natasha,Fire Trailblazer
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 2,1,12,3,Seele,Bronya,Natasha,Fire Trailblazer
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 2,2,12,3,Dan Heng,Tingyun,March 7th,Clara
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 1,1,8,3,Seele,Bronya,Natasha,Fire Trailblazer
1ca0039c218411ee8a8528c2dd2980ba,Favor of Amber Phase 1,2,8,3,Dan Heng,Tingyun,March 7th,Clara
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 4,1,12,3,Silver Wolf,Natasha,Tingyun,Serval
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 4,2,12,3,Fire Trailblazer,Asta,Bronya,Seele
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 3,1,10,3,Fire Trailblazer,Bronya,Tingyun,Seele
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 3,2,10,3,Hook,Natasha,Asta,Serval
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 2,1,11,3,Fire Trailblazer,Sampo,Bronya,Seele
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 2,2,11,3,Serval,Tingyun,Natasha,Hook
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 1,1,12,3,Fire Trailblazer,Hook,Bronya,Seele
1ca0039d218411ee992e28c2dd2980ba,Favor of Amber Phase 1,2,12,3,Serval,Tingyun,Natasha,Sampo
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 6,1,29,1,Fire Trailblazer,Bailu,Bronya,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 6,2,29,1,Gepard,Natasha,Jing Yuan,Yanqing
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 5,1,15,2,Fire Trailblazer,Natasha,Bronya,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 5,2,15,2,Gepard,Jing Yuan,Tingyun,Yanqing
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 4,1,17,2,Fire Trailblazer,Bailu,Bronya,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 4,2,17,2,Gepard,Jing Yuan,Tingyun,Yanqing
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 3,1,9,3,Gepard,Tingyun,Yanqing,Jing Yuan
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 3,2,9,3,Fire Trailblazer,Bailu,Bronya,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 2,1,9,3,Gepard,Natasha,Yanqing,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 2,2,9,3,Fire Trailblazer,Jing Yuan,Bailu,Tingyun
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 1,1,11,3,Fire Trailblazer,Natasha,Bronya,Seele
1ca0039e218411eeb93928c2dd2980ba,Favor of Amber Phase 1,2,11,3,Gepard,Bailu,Tingyun,Jing Yuan
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 5,1,18,1,Fire Trailblazer,Clara,Dan Heng,Natasha
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 5,2,18,1,Gepard,Jing Yuan,Tingyun,Asta
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 4,1,18,2,Gepard,Jing Yuan,Dan Heng,Asta
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 4,2,18,2,Clara,Fire Trailblazer,Tingyun,Natasha
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 3,1,17,2,Gepard,Jing Yuan,Tingyun,Natasha
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 3,2,17,2,Fire Trailblazer,Clara,Dan Heng,Asta
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 2,1,12,3,Fire Trailblazer,Clara,Dan Heng,Asta
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 2,2,12,3,Gepard,Jing Yuan,Tingyun,March 7th
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 1,1,12,3,Clara,March 7th,Asta,Dan Heng
1ca0039f218411ee90c428c2dd2980ba,Favor of Amber Phase 1,2,12,3,Gepard,Jing Yuan,Tingyun,Natasha
1ca003a0218411eea3e928c2dd2980ba,Favor of Amber Phase 2,1,23,1,Dan Heng,Himeko,Sushang,Natasha
1ca003a0218411eea3e928c2dd2980ba,Favor of Amber Phase 2,2,23,1,Yanqing,Serval,Fire Trailblazer,March 7th
1ca003a0218411eea3e928c2dd2980ba,Favor of Amber Phase 1,1,17,2,Dan Heng,Himeko,Serval,Natasha
1ca003a0218411eea3e928c2dd2980ba,Favor of Amber Phase 1,2,17,2,Yanqing,Sushang,Fire Trailblazer,March 7th
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 5,1,18,1,Seele,Dan Heng,Natasha,Gepard
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 5,2,18,1,Jing Yuan,Fire Trailblazer,Serval,Welt
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 4,1,18,2,Dan Heng,Seele,Serval,Natasha
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 4,2,18,2,Jing Yuan,Welt,Gepard,Physical Trailblazer
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 3,1,13,2,Gepard,Jing Yuan,Welt,Serval
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 3,2,13,2,Dan Heng,Seele,Fire Trailblazer,Natasha
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 2,1,11,3,Welt,Fire Trailblazer,Pela,Seele
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 2,2,11,3,Jing Yuan,Gepard,Dan Heng,Serval
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 1,1,11,3,Seele,Dan Heng,Serval,Natasha
1ca003a1218411ee948128c2dd2980ba,Favor of Amber Phase 1,2,11,3,Jing Yuan,Welt,Gepard,Physical Trailblazer
1ca003a2218411eeb3be28c2dd2980ba,Favor of Amber Phase 5,1,24,0,Fire Trailblazer,Natasha,Seele,
1ca003a2218411eeb3be28c2dd2980ba,Favor of Amber Phase 5,2,24,0,Gepard,Welt,Jing Yuan,Tingyun
