uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,buff
f3af448a1f2211ef854728c2dd2980ba,4,1,40000,3,Acheron,Sparkle,Silver Wolf,Aventurine,Rebuttal
f3af448a1f2211ef854728c2dd2980ba,4,2,40000,3,Kafka,Black Swan,Ruan Mei,Huohuo,Rebuttal
f3af448b1f2211ef814228c2dd2980ba,4,1,40000,3,Huohuo,Ruan Mei,Sparkle,Dan Heng • Imbibitor Lunae,Argument
f3af448b1f2211ef814228c2dd2980ba,4,2,25177,3,Bronya,Pela,Acheron,Silver Wolf,Verification
f3af448c1f2211ef9a4e28c2dd2980ba,4,1,40000,3,Aventurine,Argenti,Tingyun,Sparkle,Rebuttal
f3af448c1f2211ef9a4e28c2dd2980ba,4,2,22796,3,Jing Yuan,Blade,Bronya,Pela,Argument
f3af448d1f2211ef8c4928c2dd2980ba,4,1,40000,3,Himeko,Clara,Huohuo,Sparkle,Argument
f3af448d1f2211ef8c4928c2dd2980ba,4,2,23907,3,Acheron,Silver Wolf,Fu Xuan,Pela,Verification
f3af448e1f2211ef950128c2dd2980ba,4,1,40000,3,Fu Xuan,Robin,Clara,Himeko,Argument
f3af448e1f2211ef950128c2dd2980ba,4,2,40000,3,Huohuo,Ruan Mei,Black Swan,Kafka,Rebuttal
f3af448f1f2211ef980528c2dd2980ba,4,1,37450,3,Fu Xuan,Robin,Himeko,Herta,Argument
f3af448f1f2211ef980528c2dd2980ba,4,2,40000,3,Huohuo,Black Swan,Kafka,Acheron,Rebuttal
f3af44901f2211efb1c328c2dd2980ba,4,1,15682,1,Guinaifen,Himeko,Argenti,Ruan Mei,Argument
f3af44901f2211efb1c328c2dd2980ba,4,2,27225,1,Acheron,Kafka,Black Swan,Sampo,Verification
f3af44911f2211efb89128c2dd2980ba,4,1,22590,3,Himeko,Ruan Mei,Herta,Bronya,Argument
f3af44911f2211efb89128c2dd2980ba,4,2,40000,3,Kafka,Black Swan,Sampo,Tingyun,Verification
f3af44921f2211ef84b228c2dd2980ba,4,1,40000,3,Ruan Mei,Sparkle,Aventurine,Himeko,Argument
f3af44921f2211ef84b228c2dd2980ba,4,2,40000,3,Acheron,Black Swan,Robin,Kafka,Verification
f3af44931f2211ef9a0128c2dd2980ba,4,1,40000,3,Clara,Himeko,Ruan Mei,Luocha,Argument
f3af44931f2211ef9a0128c2dd2980ba,4,2,20989,3,Acheron,Pela,Silver Wolf,Fu Xuan,Verification
f3af44941f2211efa62128c2dd2980ba,4,1,33738,3,Bronya,Dan Heng • Imbibitor Lunae,Luocha,Sparkle,Argument
f3af44941f2211efa62128c2dd2980ba,4,2,36942,3,Blade,Kafka,Acheron,Ruan Mei,Argument
f3af44951f2211ef9bc528c2dd2980ba,4,1,36760,3,Himeko,Clara,Ruan Mei,Huohuo,Rebuttal
f3af44951f2211ef9bc528c2dd2980ba,4,2,24005,3,Acheron,Silver Wolf,Fu Xuan,Pela,Verification
f3af44961f2211efbdf428c2dd2980ba,4,1,40000,3,Acheron,Fu Xuan,Robin,Pela,Argument
f3af44961f2211efbdf428c2dd2980ba,4,2,40000,3,Huohuo,Black Swan,Ruan Mei,Kafka,Rebuttal
f3af44971f2211efa0c528c2dd2980ba,4,1,36240,3,Blade,Fu Xuan,Himeko,Ruan Mei,Argument
f3af44971f2211efa0c528c2dd2980ba,4,2,24465,3,Aventurine,Pela,Acheron,Sampo,Verification
f3af44981f2211efb52528c2dd2980ba,4,1,23741,3,Dr. Ratio,Aventurine,Robin,Topaz & Numby,Argument
f3af44981f2211efb52528c2dd2980ba,4,2,40000,3,Acheron,Fu Xuan,Ruan Mei,Black Swan,Argument
f3af44991f2211efbf0028c2dd2980ba,4,1,32400,3,Jingliu,Ruan Mei,Bronya,Fu Xuan,Rebuttal
