uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,buff
0adf8cebdc5c11eea69b28c2dd2980ba,4,1,40000,3,Himeko,Topaz & Numby,Herta,Ruan Mei,Blarney
0adf8cebdc5c11eea69b28c2dd2980ba,4,2,40000,3,Jing Yuan,Blade,Sparkle,Bronya,Blarney
0adf8cecdc5c11eea9d828c2dd2980ba,4,1,40000,3,Fu Xuan,Tingyun,Herta,Sparkle,Blarney
0adf8cecdc5c11eea9d828c2dd2980ba,4,2,40000,3,Huohuo,Black Swan,Kafka,Ruan Mei,Spiel
0adf8ceddc5c11eea61a28c2dd2980ba,4,1,27571,3,Asta,Herta,Argenti,Pela,Flattery
0adf8ceddc5c11eea61a28c2dd2980ba,4,2,40000,3,Luocha,Jing Yuan,Tingyun,Sparkle,Blarney
0adf8ceedc5c11eebe5928c2dd2980ba,4,1,40000,3,Himeko,Clara,Herta,Sparkle,Blarney
0adf8ceedc5c11eebe5928c2dd2980ba,4,2,40000,3,Argenti,Tingyun,Bronya,Huohuo,Flattery
0adf8cefdc5c11eea9f328c2dd2980ba,4,1,40000,3,Topaz & Numby,Clara,Sparkle,Pela,Blarney
0adf8cefdc5c11eea9f328c2dd2980ba,4,2,40000,3,Huohuo,Asta,Black Swan,Kafka,Flattery
0adf8cf0dc5c11ee86bf28c2dd2980ba,4,1,30639,3,Fu Xuan,Himeko,Herta,Asta,Spiel
0adf8cf0dc5c11ee86bf28c2dd2980ba,4,2,33888,3,Huohuo,Black Swan,Ruan Mei,Kafka,Flattery
0adf8cf1dc5c11eeaf8228c2dd2980ba,4,1,31910,3,Fu Xuan,Ruan Mei,Herta,Himeko,Blarney
0adf8cf1dc5c11eeaf8228c2dd2980ba,4,2,30366,3,Black Swan,Kafka,Tingyun,Bailu,Spiel
0adfb428dc5c11eeb03828c2dd2980ba,4,1,27341,3,Jingliu,Herta,Sparkle,Fu Xuan,Spiel
0adfb428dc5c11eeb03828c2dd2980ba,4,2,32786,3,Argenti,Bronya,Tingyun,Huohuo,Flattery
0adfb429dc5c11eeb5d028c2dd2980ba,4,1,32795,3,Jingliu,Bronya,Sparkle,Fu Xuan,Flattery
0adfb429dc5c11eeb5d028c2dd2980ba,4,2,40000,3,Ruan Mei,Luocha,Kafka,Black Swan,Flattery
0adfb42adc5c11eeb14e28c2dd2980ba,4,1,40000,3,Himeko,Pela,Ruan Mei,Asta,Blarney
0adfb42adc5c11eeb14e28c2dd2980ba,4,2,40000,3,Clara,Yukong,Tingyun,Huohuo,Blarney
0adfb42bdc5c11eeb03228c2dd2980ba,4,1,40000,3,Ruan Mei,Jingliu,Fu Xuan,Blade,Blarney
0adfb42bdc5c11eeb03228c2dd2980ba,4,2,25981,3,Bronya,Luocha,Dan Heng • Imbibitor Lunae,Yukong,Spiel
0adfb42cdc5c11eebe9c28c2dd2980ba,4,1,40000,3,Herta,Ruan Mei,Himeko,Fu Xuan,Blarney
0adfb42cdc5c11eebe9c28c2dd2980ba,4,2,40000,3,Jingliu,Clara,Tingyun,Huohuo,Flattery
0adfb42ddc5c11ee8d2928c2dd2980ba,4,1,21371,3,Fu Xuan,Bronya,Blade,Pela,Flattery
0adfb42ddc5c11ee8d2928c2dd2980ba,4,2,40000,3,Huohuo,Ruan Mei,Black Swan,Kafka,Flattery
0adfb42edc5c11eeae8c28c2dd2980ba,4,1,35837,3,Fu Xuan,Himeko,Herta,Ruan Mei,Blarney
0adfb42edc5c11eeae8c28c2dd2980ba,4,2,30501,3,Luocha,Jing Yuan,Tingyun,Asta,Blarney
0adfb42fdc5c11ee861828c2dd2980ba,4,1,34803,3,Jingliu,Blade,Ruan Mei,Pela,Flattery
0adfb42fdc5c11ee861828c2dd2980ba,4,2,26657,3,Dan Heng • Imbibitor Lunae,Fu Xuan,Tingyun,Bronya,Flattery
0adfb430dc5c11ee905628c2dd2980ba,4,1,33998,3,Jingliu,Sparkle,Bronya,Fu Xuan,Flattery
0adfb430dc5c11ee905628c2dd2980ba,4,2,32231,3,Black Swan,Kafka,Huohuo,Ruan Mei,Spiel
0adfb431dc5c11ee816d28c2dd2980ba,4,1,40000,3,Himeko,Pela,Ruan Mei,Bronya,Blarney
0adfb431dc5c11ee816d28c2dd2980ba,4,2,40000,3,Clara,Herta,Sparkle,Tingyun,Blarney
0adfb432dc5c11ee911c28c2dd2980ba,4,1,26374,2,Herta,Asta,Pela,Fire Trailblazer,Blarney
0adfb432dc5c11ee911c28c2dd2980ba,4,2,23632,2,Serval,Ruan Mei,Blade,Fu Xuan,Flattery
0adfb433dc5c11ee998f28c2dd2980ba,4,1,27550,3,Jingliu,Bronya,Fu Xuan,Pela,Flattery
0adfb433dc5c11ee998f28c2dd2980ba,4,2,35793,3,Kafka,Ruan Mei,Black Swan,Luocha,Flattery
0adfb434dc5c11eea2c028c2dd2980ba,4,1,40000,3,Himeko,Herta,Fu Xuan,Pela,Blarney
0adfb434dc5c11eea2c028c2dd2980ba,4,2,28759,3,Kafka,Tingyun,Ruan Mei,Huohuo,Blarney
0adfb435dc5c11eeaac128c2dd2980ba,4,1,36350,3,Bronya,Ruan Mei,Herta,Luocha,Blarney
0adfb435dc5c11eeaac128c2dd2980ba,4,2,32387,3,Seele,Tingyun,Sparkle,Fu Xuan,Flattery
0adfb436dc5c11ee868328c2dd2980ba,4,1,34170,3,Herta,Ruan Mei,Himeko,Jingliu,Spiel
0adfb436dc5c11ee868328c2dd2980ba,4,2,33807,3,Kafka,Tingyun,Black Swan,Jing Yuan,Blarney
0adfb437dc5c11ee876228c2dd2980ba,4,1,40000,3,Fire Trailblazer,Ruan Mei,Himeko,Herta,Blarney
0adfb437dc5c11ee876228c2dd2980ba,4,2,40000,3,Clara,Tingyun,Asta,Jing Yuan,Blarney
0adfb438dc5c11eeae1528c2dd2980ba,4,1,33236,3,Clara,Tingyun,Topaz & Numby,Fu Xuan,Blarney
0adfb438dc5c11eeae1528c2dd2980ba,4,2,30390,3,Kafka,Ruan Mei,Black Swan,Luocha,Spiel
0adfb439dc5c11eea5b628c2dd2980ba,4,1,40000,3,Ruan Mei,Himeko,Topaz & Numby,Herta,Blarney
0adfb439dc5c11eea5b628c2dd2980ba,4,2,30874,3,Sparkle,Jing Yuan,Kafka,Black Swan,Flattery
0adfb43adc5c11ee91ab28c2dd2980ba,4,1,40000,3,Topaz & Numby,Sparkle,Jingliu,Clara,Blarney
0adfb43adc5c11ee91ab28c2dd2980ba,4,2,40000,3,Dr. Ratio,Jing Yuan,Ruan Mei,Huohuo,Blarney
0adfb43bdc5c11eea51028c2dd2980ba,4,1,21354,3,Jingliu,Bronya,Pela,Fu Xuan,Flattery
0adfb43bdc5c11eea51028c2dd2980ba,4,2,40000,3,Kafka,Black Swan,Ruan Mei,Huohuo,Flattery
0adfb43cdc5c11eeb57b28c2dd2980ba,4,1,40000,3,Fu Xuan,Ruan Mei,Himeko,Herta,Blarney
0adfb43cdc5c11eeb57b28c2dd2980ba,4,2,40000,3,Huohuo,Tingyun,Sparkle,Jing Yuan,Spiel
0adfb43ddc5c11eea5f928c2dd2980ba,4,1,23786,3,Gepard,Herta,Guinaifen,Asta,Blarney
0adfb43ddc5c11eea5f928c2dd2980ba,4,2,40000,3,Clara,Luocha,Bronya,Tingyun,Blarney
0adfb43edc5c11eeb85328c2dd2980ba,4,1,26077,3,Jingliu,Pela,Ruan Mei,Huohuo,Flattery
0adfb43edc5c11eeb85328c2dd2980ba,4,2,40000,3,Jing Yuan,Tingyun,Bronya,Fu Xuan,Blarney
0adfb43fdc5c11ee91e428c2dd2980ba,4,1,40000,3,Black Swan,Kafka,Ruan Mei,Huohuo,Flattery
0adfb43fdc5c11ee91e428c2dd2980ba,4,2,40000,3,Sparkle,Jing Yuan,Tingyun,Luocha,Blarney
