uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,buff
8118a0340c4f11ef84a728c2dd2980ba,4,1,40000,3,Blade,Dr. Ratio,Topaz & Numby,Ruan Mei,Extrapolation
8118a0340c4f11ef84a728c2dd2980ba,4,2,40000,3,Acheron,Aventurine,Sparkle,Silver Wolf,Reductio ad Absurdum
8118a0350c4f11efb93928c2dd2980ba,4,1,34445,3,Huohuo,Sparkle,Dan Heng • Imbibitor Lunae,Ruan Mei,Reductio ad Absurdum
8118a0350c4f11efb93928c2dd2980ba,4,2,27461,3,Fu Xuan,Bronya,Acheron,Silver Wolf,Reductio ad Absurdum
8118a0360c4f11ef993128c2dd2980ba,4,1,26169,3,Argenti,Herta,Tingyun,Bronya,Examination
8118a0360c4f11ef993128c2dd2980ba,4,2,36260,3,Aventurine,Dr. Ratio,Jing Yuan,Sparkle,Examination
8118a0370c4f11ef9b1928c2dd2980ba,4,1,40000,3,Himeko,Argenti,Asta,Herta,Extrapolation
8118a0370c4f11ef9b1928c2dd2980ba,4,2,40000,3,Acheron,Welt,Sparkle,Pela,Reductio ad Absurdum
8118a0380c4f11ef9aaf28c2dd2980ba,4,1,40000,3,Ruan Mei,Clara,Himeko,Topaz & Numby,Examination
8118a0380c4f11ef9aaf28c2dd2980ba,4,2,40000,3,Fu Xuan,Sparkle,Pela,Acheron,Reductio ad Absurdum
8118a0390c4f11ef825728c2dd2980ba,4,1,37940,3,Gallagher,Ruan Mei,Himeko,Herta,Examination
8118a0390c4f11ef825728c2dd2980ba,4,2,40000,3,Huohuo,Kafka,Black Swan,Acheron,Reductio ad Absurdum
8118a03a0c4f11efaf5128c2dd2980ba,4,1,33838,3,Himeko,Herta,Ruan Mei,Asta,Examination
8118a03a0c4f11efaf5128c2dd2980ba,4,2,26531,3,Acheron,Black Swan,Welt,Kafka,Examination
8118a03b0c4f11ef833b28c2dd2980ba,4,1,34625,3,Herta,Himeko,Fu Xuan,Ruan Mei,Extrapolation
8118a03b0c4f11ef833b28c2dd2980ba,4,2,36288,3,Kafka,Black Swan,Tingyun,Bailu,Reductio ad Absurdum
8118a03c0c4f11efbbb228c2dd2980ba,4,1,40000,3,Ruan Mei,Jingliu,Bronya,Fu Xuan,Reductio ad Absurdum
8118a03c0c4f11efbbb228c2dd2980ba,4,2,40000,3,Acheron,Sparkle,Aventurine,Black Swan,Reductio ad Absurdum
8118a03d0c4f11ef87f928c2dd2980ba,4,1,40000,3,Himeko,Herta,Ruan Mei,Fu Xuan,Extrapolation
8118a03d0c4f11ef87f928c2dd2980ba,4,2,26010,3,Dr. Ratio,Topaz & Numby,Tingyun,Huohuo,Examination
8118a03e0c4f11ef81b528c2dd2980ba,4,1,40000,3,Jingliu,Bronya,Ruan Mei,Blade,Reductio ad Absurdum
8118a03e0c4f11ef81b528c2dd2980ba,4,2,21694,3,Dan Heng • Imbibitor Lunae,Sparkle,Luocha,Seele,Examination
8118a03f0c4f11efa6cb28c2dd2980ba,4,1,40000,3,Herta,Bronya,Sparkle,Tingyun,Extrapolation
8118a03f0c4f11efa6cb28c2dd2980ba,4,2,40000,3,Acheron,Ruan Mei,Himeko,Pela,Reductio ad Absurdum
8118a0400c4f11ef8ffd28c2dd2980ba,4,1,28312,3,Huohuo,Ruan Mei,Black Swan,Kafka,Extrapolation
8118a0400c4f11ef8ffd28c2dd2980ba,4,2,40000,3,Bronya,Fu Xuan,Pela,Acheron,Reductio ad Absurdum
8118a0410c4f11efa04e28c2dd2980ba,4,1,34935,3,Himeko,Herta,Tingyun,Ruan Mei,Extrapolation
8118a0410c4f11efa04e28c2dd2980ba,4,2,34930,3,Aventurine,Clara,March 7th,Dr. Ratio,Examination
8118a0420c4f11efb66728c2dd2980ba,4,1,26562,3,Jingliu,Pela,Bronya,Fu Xuan,Extrapolation
8118a0420c4f11efb66728c2dd2980ba,4,2,40000,3,Acheron,Aventurine,Ruan Mei,Black Swan,Extrapolation
8118a0430c4f11efbd5628c2dd2980ba,4,1,31254,3,Jingliu,Ruan Mei,Bronya,Fu Xuan,Extrapolation
8118a0430c4f11efbd5628c2dd2980ba,4,2,36050,3,Acheron,Kafka,Black Swan,Huohuo,Examination
8118a0440c4f11efa0f828c2dd2980ba,4,1,40000,3,Himeko,Ruan Mei,Pela,Asta,Extrapolation
8118a0440c4f11efa0f828c2dd2980ba,4,2,40000,3,Herta,Tingyun,Sparkle,Bronya,Extrapolation
8118a0450c4f11efa49c28c2dd2980ba,4,1,34885,3,Blade,Bronya,Ruan Mei,Herta,Examination
8118a0450c4f11efa49c28c2dd2980ba,4,2,31475,3,Acheron,Welt,Pela,Aventurine,Reductio ad Absurdum
8118a0460c4f11ef8d0728c2dd2980ba,4,1,27320,3,Ruan Mei,Jingliu,Fu Xuan,Bronya,Examination
8118a0460c4f11ef8d0728c2dd2980ba,4,2,40000,3,Acheron,Black Swan,Kafka,Sparkle,Reductio ad Absurdum
8118a0470c4f11efa45128c2dd2980ba,4,1,40000,3,Himeko,Herta,Ruan Mei,Huohuo,Extrapolation
8118a0470c4f11efa45128c2dd2980ba,4,2,37534,3,Acheron,Pela,Sparkle,Fu Xuan,Reductio ad Absurdum
8118a0480c4f11ef8e3128c2dd2980ba,4,1,40000,3,Ruan Mei,Herta,Bronya,Topaz & Numby,Extrapolation
8118a0480c4f11ef8e3128c2dd2980ba,4,2,31824,3,Acheron,Silver Wolf,Sparkle,Pela,Reductio ad Absurdum
8118a0490c4f11efb2ee28c2dd2980ba,4,1,40000,3,Sparkle,Ruan Mei,Herta,Himeko,Examination
8118a0490c4f11efb2ee28c2dd2980ba,4,2,35380,3,Black Swan,Kafka,Fire Trailblazer,Acheron,Reductio ad Absurdum
8118a04a0c4f11ef91ad28c2dd2980ba,4,1,40000,3,Herta,Ruan Mei,Gallagher,Himeko,Extrapolation
8118a04a0c4f11ef91ad28c2dd2980ba,4,2,40000,3,Tingyun,Clara,Aventurine,Hanya,Extrapolation
8118a04b0c4f11efa7ec28c2dd2980ba,4,1,24160,3,Clara,Topaz & Numby,Tingyun,Fu Xuan,Reductio ad Absurdum
8118a04b0c4f11efa7ec28c2dd2980ba,4,2,40000,3,Acheron,Kafka,Black Swan,Aventurine,Reductio ad Absurdum
8118a04c0c4f11efa4ab28c2dd2980ba,4,1,40000,3,Ruan Mei,Himeko,Herta,Huohuo,Extrapolation
8118a04c0c4f11efa4ab28c2dd2980ba,4,2,40000,3,Sparkle,Dr. Ratio,Acheron,Aventurine,Reductio ad Absurdum
8118a04d0c4f11efb90728c2dd2980ba,4,1,40000,3,Topaz & Numby,Sparkle,Argenti,Aventurine,Extrapolation
8118a04d0c4f11efb90728c2dd2980ba,4,2,40000,3,Huohuo,Black Swan,Kafka,Ruan Mei,Reductio ad Absurdum
8118a04e0c4f11ef9a0a28c2dd2980ba,4,1,40000,3,Acheron,Sparkle,Pela,Aventurine,Reductio ad Absurdum
8118a04e0c4f11ef9a0a28c2dd2980ba,4,2,40000,3,Kafka,Black Swan,Ruan Mei,Huohuo,Reductio ad Absurdum
8118a04f0c4f11ef95c928c2dd2980ba,4,1,40000,3,Fu Xuan,Ruan Mei,Himeko,Herta,Extrapolation
8118a04f0c4f11ef95c928c2dd2980ba,4,2,40000,3,Huohuo,Sparkle,Tingyun,Jing Yuan,Extrapolation
8118a0500c4f11efbf9e28c2dd2980ba,4,1,38220,3,Herta,Aventurine,Ruan Mei,Sparkle,Examination
8118a0500c4f11efbf9e28c2dd2980ba,4,2,23738,3,Acheron,Silver Wolf,Pela,Fu Xuan,Reductio ad Absurdum
8118a0510c4f11ef93e128c2dd2980ba,4,1,40000,3,Himeko,Ruan Mei,Yukong,Clara,Extrapolation
8118a0510c4f11ef93e128c2dd2980ba,4,2,40000,3,Acheron,Sparkle,Aventurine,Pela,Extrapolation
8118a0520c4f11ef8b6e28c2dd2980ba,4,1,22422,3,Fu Xuan,Herta,Himeko,Pela,Extrapolation
8118a0520c4f11ef8b6e28c2dd2980ba,4,2,40000,3,Luocha,Sparkle,Clara,Tingyun,Extrapolation
8118a0530c4f11ef89de28c2dd2980ba,4,1,32221,3,Himeko,Acheron,Herta,Fu Xuan,Examination
8118a0530c4f11ef89de28c2dd2980ba,4,2,31302,3,Argenti,Tingyun,Jing Yuan,Sparkle,Reductio ad Absurdum
8118a0540c4f11ef86d028c2dd2980ba,4,1,29914,2,Gepard,Himeko,Herta,Ruan Mei,Examination
8118a0540c4f11ef86d028c2dd2980ba,4,2,21039,2,Sparkle,Serval,Seele,Fu Xuan,Reductio ad Absurdum
8118a0550c4f11efb10328c2dd2980ba,4,1,38010,3,Ruan Mei,Herta,Himeko,Fu Xuan,Extrapolation
8118a0550c4f11efb10328c2dd2980ba,4,2,27492,3,Sparkle,Jing Yuan,Tingyun,Aventurine,Extrapolation
8118a0560c4f11efbd1528c2dd2980ba,4,1,40000,3,Ruan Mei,Himeko,Asta,Herta,Extrapolation
8118a0560c4f11efbd1528c2dd2980ba,4,2,35530,3,Clara,Sparkle,Jing Yuan,Tingyun,Extrapolation
8118a0570c4f11efa6d628c2dd2980ba,4,1,40000,3,Herta,Ruan Mei,Sparkle,Himeko,Examination
8118a0570c4f11efa6d628c2dd2980ba,4,2,30817,3,Acheron,Pela,Fire Trailblazer,Silver Wolf,Reductio ad Absurdum
8118a0580c4f11efafab28c2dd2980ba,4,1,24754,2,Clara,Ruan Mei,Luocha,Himeko,Examination
8118a0580c4f11efafab28c2dd2980ba,4,2,33146,2,Huohuo,Sparkle,Tingyun,Jing Yuan,Extrapolation
8118a0590c4f11ef916028c2dd2980ba,4,1,40000,3,Ruan Mei,Himeko,Herta,Blade,Extrapolation
8118a0590c4f11ef916028c2dd2980ba,4,2,40000,3,Acheron,Kafka,Dr. Ratio,March 7th,Examination
8118a05a0c4f11ef950128c2dd2980ba,4,1,25785,3,Dan Heng • Imbibitor Lunae,Ruan Mei,Huohuo,Clara,Reductio ad Absurdum
8118a05a0c4f11ef950128c2dd2980ba,4,2,40000,3,Acheron,Bronya,Silver Wolf,Fu Xuan,Reductio ad Absurdum
8118a05b0c4f11ef815228c2dd2980ba,4,1,40000,3,Himeko,Sparkle,Ruan Mei,Gallagher,Examination
8118a05b0c4f11ef815228c2dd2980ba,4,2,29725,3,Acheron,Silver Wolf,Pela,Fu Xuan,Reductio ad Absurdum
8118a05c0c4f11efa7d528c2dd2980ba,4,1,23728,3,Jingliu,Topaz & Numby,Ruan Mei,Bronya,Reductio ad Absurdum
8118a05c0c4f11efa7d528c2dd2980ba,4,2,38500,3,Black Swan,Acheron,Kafka,Sparkle,Reductio ad Absurdum
8118a05d0c4f11ef991d28c2dd2980ba,4,1,34033,3,March 7th,Ruan Mei,Himeko,Herta,Extrapolation
8118a05d0c4f11ef991d28c2dd2980ba,4,2,29409,3,Silver Wolf,Fu Xuan,Pela,Acheron,Reductio ad Absurdum
8118a05e0c4f11ef94d328c2dd2980ba,4,1,30436,3,Ruan Mei,Himeko,Herta,Fu Xuan,Examination
8118a05e0c4f11ef94d328c2dd2980ba,4,2,40000,3,Kafka,Acheron,Black Swan,Sparkle,Reductio ad Absurdum
8118a05f0c4f11ef970d28c2dd2980ba,4,1,31730,3,Fu Xuan,Himeko,Herta,Ruan Mei,Examination
8118a05f0c4f11ef970d28c2dd2980ba,4,2,30410,3,Huohuo,Black Swan,Kafka,Acheron,Reductio ad Absurdum
