uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
4d77bbf1828e11efafaf8878734f76cf,4,1,37040,2,Acheron,Jiaoqiu,Ruan Mei,Aventurine,0,1.0,1.0,0.0,Arioso
4d77bbf1828e11efafaf8878734f76cf,4,2,18929,2,Jingliu,Blade,Sparkle,Luocha,0,0.0,0.0,1.0,Arioso
4d77bbf2828e11ef935e8878734f76cf,4,1,27970,1,Acheron,Black Swan,Kafka,Herta,0,0.0,0.0,6.0,Free Writing
4d77bbf2828e11ef935e8878734f76cf,4,2,21824,1,Himeko,Jade,Aventurine,Robin,1,0.0,0.0,0.0,Arioso
4d77bbf3828e11efa7ea8878734f76cf,4,1,40000,3,Ruan Mei,Jade,Blade,Lynx,0,1.0,0.0,6.0,Free Writing
4d77bbf3828e11efa7ea8878734f76cf,4,2,40000,3,Kafka,Gallagher,Jiaoqiu,Acheron,0,2.0,0.0,0.0,Free Writing
4d77bbf4828e11efa7238878734f76cf,4,1,30876,3,Acheron,Pela,Robin,Gallagher,0,6.0,0.0,6.0,Free Writing
4d77bbf4828e11efa7238878734f76cf,4,2,32172,3,Firefly,Imaginary Trailblazer,Ruan Mei,Luocha,0,6.0,0.0,0.0,Arioso
4d77bbf5828e11ef919a8878734f76cf,4,1,29035,3,Kafka,Acheron,Fu Xuan,Sparkle,0,2.0,0.0,0.0,Free Writing
4d77bbf5828e11ef919a8878734f76cf,4,2,40000,3,Imaginary Trailblazer,Firefly,Himeko,Ruan Mei,6,2.0,1.0,0.0,Arioso
4d77bbf6828e11ef9d298878734f76cf,4,1,33720,3,Silver Wolf,Kafka,Aventurine,Acheron,0,2.0,2.0,0.0,Free Writing
4d77bbf6828e11ef9d298878734f76cf,4,2,28515,3,Firefly,Imaginary Trailblazer,Gallagher,Ruan Mei,0,2.0,2.0,1.0,Arioso
4d77bbf7828e11efba2b8878734f76cf,4,1,24945,2,Aventurine,Jade,Robin,Argenti,0,0.0,0.0,1.0,Free Writing
4d77bbf7828e11efba2b8878734f76cf,4,2,29095,2,Gallagher,Ruan Mei,Jiaoqiu,Himeko,0,0.0,0.0,5.0,Free Writing
4d77bbf8828e11efb6c98878734f76cf,4,1,34433,3,Fu Xuan,Feixiao,Herta,Jade,0,0.0,6.0,0.0,Picturesque
4d77bbf8828e11efb6c98878734f76cf,4,2,30300,3,Huohuo,Robin,Yunli,Tingyun,0,0.0,0.0,6.0,Picturesque
4d77bbf9828e11ef97b68878734f76cf,4,1,26539,2,Kafka,Black Swan,Fu Xuan,Acheron,0,0.0,0.0,0.0,Free Writing
4d77bbf9828e11ef97b68878734f76cf,4,2,24978,2,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,1,2.0,0.0,6.0,Arioso
4d77bbfa828e11ef9dd18878734f76cf,4,1,27100,2,Feixiao,Robin,Aventurine,Topaz & Numby,1,0.0,0.0,0.0,Picturesque
4d77bbfa828e11ef9dd18878734f76cf,4,2,23245,2,Guinaifen,Imaginary Trailblazer,Ruan Mei,Gallagher,6,6.0,0.0,4.0,Arioso
4d77bbfb828e11efb0e18878734f76cf,4,1,40000,3,Kafka,Herta,Ruan Mei,Gallagher,2,6.0,1.0,6.0,Free Writing
4d77bbfb828e11efb0e18878734f76cf,4,2,40000,3,Firefly,Imaginary Trailblazer,Himeko,Lingsha,6,6.0,0.0,1.0,Arioso
4d77bbfc828e11ef90988878734f76cf,4,1,36710,3,Acheron,Jiaoqiu,Kafka,Fu Xuan,0,0.0,0.0,0.0,Free Writing
4d77bbfc828e11ef90988878734f76cf,4,2,29960,3,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,0,6.0,0.0,6.0,Arioso
4d77bbfd828e11efb1528878734f76cf,4,1,40000,3,Fu Xuan,Sparkle,Kafka,Acheron,0,2.0,0.0,2.0,Free Writing
4d77bbfd828e11efb1528878734f76cf,4,2,37590,3,Himeko,Herta,Lingsha,Robin,2,6.0,1.0,0.0,Picturesque
4d77bbfe828e11ef8dd68878734f76cf,4,1,40000,3,Robin,Yunli,Fu Xuan,Jade,0,0.0,1.0,1.0,Picturesque
4d77bbfe828e11ef8dd68878734f76cf,4,2,35880,3,Ruan Mei,Himeko,Herta,Aventurine,1,0.0,6.0,0.0,Picturesque
4d77bbff828e11efb8258878734f76cf,4,1,40000,3,Kafka,Black Swan,Tingyun,Huohuo,6,0.0,6.0,0.0,Free Writing
4d77bbff828e11efb8258878734f76cf,4,2,21714,3,Acheron,Pela,Robin,Gallagher,0,6.0,0.0,3.0,Free Writing
4d77bc00828e11efa8728878734f76cf,4,1,40000,3,Acheron,Sparkle,Fu Xuan,Jiaoqiu,2,1.0,0.0,0.0,Arioso
